Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01      600     0.02     0.02  std::abs(double)
  0.00      0.01     0.00    39900     0.00     0.00  Matrix<double>::operator[](int)
  0.00      0.01     0.00     3454     0.00     0.00  Matrix<double>::getN()
  0.00      0.01     0.00      162     0.00     0.00  Matrix<double>::getM()
  0.00      0.01     0.00       44     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      0.01     0.00       44     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.01     0.00       32     0.00     0.00  std::string const& std::forward<std::string const&>(std::remove_reference<std::string const&>::type&)
  0.00      0.01     0.00       32     0.00     0.00  std::pair<std::string, std::string>&& std::forward<std::pair<std::string, std::string> >(std::remove_reference<std::pair<std::string, std::string> >::type&)
  0.00      0.01     0.00       30     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.01     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00      0.01     0.00       24     0.00     0.00  std::move_iterator<std::string*>::base() const
  0.00      0.01     0.00       20     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       18     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.01     0.00       18     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.01     0.00       16     0.00     0.00  std::_Select1st<std::pair<std::string const, std::string> >::operator()(std::pair<std::string const, std::string> const&) const
  0.00      0.01     0.00       16     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00       16     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::max_size() const
  0.00      0.01     0.00       16     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00      0.01     0.00       16     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::string> >::__maxsize_helper<std::allocator<std::string> const>::value, unsigned int>::type std::allocator_traits<std::allocator<std::string> >::_S_max_size<std::allocator<std::string> const>(std::allocator<std::string> const&)
  0.00      0.01     0.00       16     0.00     0.00  std::allocator_traits<std::allocator<std::string> >::max_size(std::allocator<std::string> const&)
  0.00      0.01     0.00       16     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00      0.01     0.00       16     0.00     0.00  std::move_iterator<std::string*> std::__make_move_if_noexcept_iterator<std::string*, std::move_iterator<std::string*> >(std::string*)
  0.00      0.01     0.00       16     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.01     0.00       14     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_end()
  0.00      0.01     0.00       14     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.01     0.00       12     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::string*>(std::string*, std::string*)
  0.00      0.01     0.00       12     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned int)
  0.00      0.01     0.00       12     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end()
  0.00      0.01     0.00       12     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      0.01     0.00       12     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.01     0.00       12     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin()
  0.00      0.01     0.00       12     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      0.01     0.00       12     0.00     0.00  std::string&& std::forward<std::string>(std::remove_reference<std::string>::type&)
  0.00      0.01     0.00       12     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
  0.00      0.01     0.00       12     0.00     0.00  void std::_Destroy<std::string*, std::string>(std::string*, std::string*, std::allocator<std::string>&)
  0.00      0.01     0.00       12     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      0.01     0.00       12     0.00     0.00  bool std::operator==<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00      0.01     0.00       12     0.00     0.00  bool std::operator!=<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00      0.01     0.00       10     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned int)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned int, void const*)
  0.00      0.01     0.00        8     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISsE9constructISsIRKSsEEEvPT_DpOT0_
